H,split,model,MAE,RMSE,R2,n_test,tau,alpha,eps,huber_alpha,val_objective,max_depth,eta,subsample,colsample_bytree,lambda,num_boost_round,w_mid,w_danger,w_tail
1,test,XGB,5.839200019836426,15.540953646233394,0.23526698350906372,22992,,,,,,,,,,,,,,
1,test,Hybrid (Graph + XGB residual),5.9590041907746425,17.209178490817784,0.06227651341414564,22992,6.0,,,,,,,,,,,,,
1,test,RF,5.965043417643651,16.609604877157,0.1264794669304412,22992,,,,,,,,,,,,,,
1,test,Huber,6.013383189734748,18.197675958886176,-0.04854330201466284,22992,,,,,,,,,,,,,,
1,test,Tuned Hybrid (Graph + XGB residual),6.152683629547147,18.203147457337366,-0.04917392820603328,22992,6.0,3.842951781528555,0.047399932900472924,1.6633619682580091e-06,13.328726903448317,5.0,0.05623276571392487,0.6,0.8473844151325475,4.762314859371926,378.0,3.1274990443054302,4.509392805081966,17.005172695715945
1,test,Tuned Huber Graph,6.1689565631122525,17.92550386808446,-0.017412946660664064,22992,6.0,3.842951781528555,0.047399932900472924,1.6633619682580091e-06,13.328726903448317,,,,,,,,,
1,test,Huber Graph,6.168992055449577,17.925576277729924,-0.017421166307944214,22992,6.0,,,,,,,,,,,,,
1,test,Static-Graph Huber,6.169318543557047,17.922256480855417,-0.017044350657632545,22992,6.0,,,,,,,,,,,,,
1,test,Ridge,6.8113813400268555,18.955594020703607,-0.1377040147781372,22992,,,,,,,,,,,,,,
1,test,Static-Graph Ridge,6.966544151306152,16.720407336078118,0.11478608846664429,22992,6.0,,,,,,,,,,,,,
3,test,XGB,6.875913143157959,16.11808971814307,0.17741334438323975,22992,,,,,,,,,,,,,,
3,test,RF,7.0799718749157075,18.205050744406233,-0.049393339005204595,22992,,,,,,,,,,,,,,
3,test,Hybrid (Graph + XGB residual),7.201635009070572,17.63564730494889,0.01522429636342959,22992,3.0,,,,,,,,,,,,,
3,test,Huber,7.281167881021145,19.80917781732876,-0.24247430620118804,22992,,,,,,,,,,,,,,
3,test,Tuned Hybrid (Graph + XGB residual),7.5262910325994605,18.406539986443004,-0.07275076478881726,22992,3.0,4.206616505098464,0.145979499580405,2.2417850927115665e-06,16.341358737814097,3.0,0.058611769260479125,0.9990024495491234,0.6490574829405633,6.762792635635671,437.0,2.773236786422067,6.3633856978706484,19.565691584052754
3,test,Ridge,7.89943790435791,20.1459639451988,-0.28508126735687256,22992,,,,,,,,,,,,,,
3,test,Static-Graph Huber,7.954715725953089,18.982356764507752,-0.14091891058338524,22992,4.0,,,,,,,,,,,,,
3,test,Tuned Huber Graph,7.982544871605016,19.036026956452805,-0.14737963644681917,22992,3.0,4.206616505098464,0.145979499580405,2.2417850927115665e-06,16.341358737814097,,,,,,,,,
3,test,Huber Graph,7.995561877338702,19.043823763713203,-0.14831972020884998,22992,3.0,,,,,,,,,,,,,
3,test,Static-Graph Ridge,8.501923561096191,17.67500473087145,0.010823965072631836,22992,4.0,,,,,,,,,,,,,
6,test,XGB,7.293481826782227,16.335916950608787,0.15502947568893433,22992,,,,,,,,,,,,,,
6,test,RF,7.466052199443303,17.12782448033702,0.07112147332184504,22992,,,,,,,,,,,,,,
6,test,Huber,7.6967572178649295,20.953070199242017,-0.3901121896114801,22992,,,,,,,,,,,,,,
6,test,Hybrid (Graph + XGB residual),7.75815115752549,18.16292345220091,-0.04454227314420911,22992,2.0,,,,,,,,,,,,,
6,test,Tuned Hybrid (Graph + XGB residual),7.983450560113049,18.56042268306271,-0.09076260446841955,22992,2.0,4.747895592870515,0.15,1.2270387839522326e-06,17.379756308856894,6.0,0.03436043800866858,1.0,0.6518866898974885,5.652714542258326,344.0,2.7042619623242383,5.784242572472718,23.72995065755793
6,test,Ridge,8.402969360351562,21.052541489659344,-0.4033421277999878,22992,,,,,,,,,,,,,,
6,test,Tuned Huber Graph,9.008812891162405,19.12057919390743,-0.15759489490878664,22992,2.0,4.747895592870515,0.15,1.2270387839522326e-06,17.379756308856894,,,,,,,,,
6,test,Huber Graph,9.037392436736319,19.14067713791912,-0.16002970657437876,22992,2.0,,,,,,,,,,,,,
6,test,Static-Graph Huber,9.044151494387565,19.135208167089747,-0.15936690219846006,22992,1.0,,,,,,,,,,,,,
6,test,Static-Graph Ridge,9.505049705505371,18.23308960765084,-0.052628278732299805,22992,1.0,,,,,,,,,,,,,
12,test,XGB,7.487878799438477,16.483829782156494,0.13965874910354614,22992,,,,,,,,,,,,,,
12,test,RF,7.579085601053699,17.197743615197634,0.06352226596427457,22992,,,,,,,,,,,,,,
12,test,Huber,7.711975744778586,20.553895188592573,-0.3376509142889641,22992,,,,,,,,,,,,,,
12,test,Hybrid (Graph + XGB residual),7.7490702533506655,17.604662259035226,0.018681670464082645,22992,6.0,,,,,,,,,,,,,
12,test,Tuned Hybrid (Graph + XGB residual),8.025416128398014,18.110866914637306,-0.03856335327604188,22992,6.0,3.51476783693441,0.15,1.5423034459301615e-06,18.813886918541737,5.0,0.036739616569350174,0.6953030224091644,0.6176442554548824,3.6164944319256045,503.0,3.2417815680746402,5.227837758291698,20.79699058671139
12,test,Ridge,8.526225090026855,20.10711823243901,-0.2801302671432495,22992,,,,,,,,,,,,,,
12,test,Static-Graph Huber,9.203675212930705,18.814256752562137,-0.12080135778794654,22992,6.0,,,,,,,,,,,,,
12,test,Tuned Huber Graph,9.23820742432188,18.85271992691373,-0.12538869221452886,22992,6.0,3.51476783693441,0.15,1.5423034459301615e-06,18.813886918541737,,,,,,,,,
12,test,Huber Graph,9.254135984443343,18.868635884927784,-0.127289659287799,22992,6.0,,,,,,,,,,,,,
12,test,Static-Graph Ridge,9.786652565002441,18.210730539632653,-0.050048232078552246,22992,6.0,,,,,,,,,,,,,
24,test,RF,7.707720596615308,17.502676707735574,0.030018485888718582,22992,,,,,,,,,,,,,,
24,test,XGB,7.795741558074951,16.82125501742745,0.10407578945159912,22992,,,,,,,,,,,,,,
24,test,Huber,7.874160565062301,18.928428572732805,-0.1344454999746858,22992,,,,,,,,,,,,,,
24,test,Hybrid (Graph + XGB residual),7.8815584965345895,17.944363510127232,-0.01955493810625608,22992,0.0,,,,,,,,,,,,,
24,test,Static-Graph Huber,8.035362506653197,18.448404098751542,-0.07763607514541015,22992,3.0,,,,,,,,,,,,,
24,test,Huber Graph,8.04894876939013,18.48228671447131,-0.0815981153418992,22992,0.0,,,,,,,,,,,,,
24,test,Tuned Huber Graph,8.056777187320328,18.49029357584806,-0.08253545412338337,22992,0.0,5.074947458268184,0.019830653798949095,3.844359984812361e-05,21.220533147261328,,,,,,,,,
24,test,Tuned Hybrid (Graph + XGB residual),8.157919532256347,19.22867706031091,-0.17072077955720344,22992,0.0,5.074947458268184,0.019830653798949095,3.844359984812361e-05,21.220533147261328,6.0,0.01,0.6611149065783134,0.9194467670735247,4.408430771851351,401.0,3.106974864500416,4.888923982706725,19.95053387001518
24,test,Ridge,8.564593315124512,19.635159529428165,-0.22074055671691895,22992,,,,,,,,,,,,,,
24,test,Static-Graph Ridge,8.962190628051758,17.534450082545092,0.026493608951568604,22992,3.0,,,,,,,,,,,,,
