H,model,threshold_train_95,precision,recall,f1,pr_auc,n_test,n_positive_test
1,Graph Exceedance Head (95th pct),72.41224670410156,0.0830188679245283,0.44,0.13968253968253969,0.0879899192863451,22992,100
3,Graph Exceedance Head (95th pct),72.41700744628906,0.0345489443378119,0.18,0.057971014492753624,0.017839388624545337,22992,100
6,Graph Exceedance Head (95th pct),72.41624450683594,0.01011804384485666,0.06,0.017316017316017316,0.005589780635524372,22992,100
12,Graph Exceedance Head (95th pct),72.3929672241211,0.0,0.0,0.0,0.0037626573851485476,22992,100
24,Graph Exceedance Head (95th pct),72.41049194335938,0.04591836734693878,0.18,0.07317073170731707,0.025224960518840836,22992,100
