H,TH_tail_MAE,XGB_tail_MAE,p_value,significant
1,46.458243837861,50.445576,5.1587326413013995e-12,True
3,53.633649046933115,56.894005,5.301444995765773e-06,True
6,55.39072017504986,58.660313,6.052633355112555e-07,True
12,55.72089587064446,59.367195,7.810873792870598e-10,True
24,53.7746523192629,59.444157,3.703316367766578e-21,True
