src,dst,w_dist,dist_km
0,1,0.9070072762198249,27.11862197357058
0,5,0.902522308349948,27.798731661139723
0,6,0.8186733774307026,38.826039208182166
0,2,0.6767731546381173,54.23723770858272
1,0,0.9070072762198249,27.11862197357058
1,2,0.9070072762198249,27.11862197357058
1,6,0.902522308349948,27.798731661139723
1,7,0.8186733774307026,38.826039208182166
2,1,0.9070072762198249,27.11862197357058
2,3,0.9070072762198159,27.118621973571962
2,7,0.902522308349948,27.798731661139723
2,6,0.8186733774307026,38.826039208182166
3,4,0.9070072762198249,27.11862197357058
3,2,0.9070072762198159,27.118621973571962
3,8,0.902522308349948,27.798731661139723
3,9,0.8186733774307026,38.826039208182166
4,3,0.9070072762198249,27.11862197357058
4,9,0.902522308349948,27.798731661139723
4,8,0.8186733774307026,38.826039208182166
4,2,0.6767731546381038,54.2372377085841
5,6,0.90718299390258,27.091697656754604
5,0,0.902522308349948,27.798731661139723
5,10,0.902522308349948,27.798731661139723
5,11,0.8188334221880983,38.807067545236535
6,5,0.90718299390258,27.091697656754604
6,7,0.90718299390258,27.091697656754604
6,1,0.902522308349948,27.798731661139723
6,11,0.902522308349948,27.798731661139723
7,6,0.90718299390258,27.091697656754604
7,8,0.907182993902571,27.091697656755983
7,2,0.902522308349948,27.798731661139723
7,12,0.902522308349948,27.798731661139723
8,9,0.90718299390258,27.091697656754604
8,7,0.907182993902571,27.091697656755983
8,3,0.902522308349948,27.798731661139723
8,13,0.902522308349948,27.798731661139723
9,8,0.90718299390258,27.091697656754604
9,4,0.902522308349948,27.798731661139723
9,14,0.902522308349948,27.798731661139723
9,13,0.8188334221880983,38.807067545236535
10,11,0.9073619331795647,27.06425755241315
10,5,0.902522308349948,27.798731661139723
10,15,0.902522308349948,27.798731661139723
10,16,0.8189963692436475,38.78774612340365
11,10,0.9073619331795647,27.06425755241315
11,12,0.9073619331795647,27.06425755241315
11,6,0.902522308349948,27.798731661139723
11,16,0.902522308349948,27.798731661139723
12,11,0.9073619331795647,27.06425755241315
12,13,0.9073619331795558,27.064257552414524
12,7,0.902522308349948,27.798731661139723
12,17,0.902522308349948,27.798731661139723
13,14,0.9073619331795647,27.06425755241315
13,12,0.9073619331795558,27.064257552414524
13,8,0.902522308349948,27.798731661139723
13,18,0.902522308349948,27.798731661139723
14,13,0.9073619331795647,27.06425755241315
14,9,0.902522308349948,27.798731661139723
14,19,0.902522308349948,27.798731661139723
14,18,0.8189963692436475,38.78774612340365
15,16,0.9075440823125245,27.036302182973213
15,10,0.902522308349948,27.798731661139723
15,11,0.8189963692436475,38.78774612340365
15,17,0.6783767587820653,54.07259740396061
16,15,0.9075440823125245,27.036302182973213
16,17,0.9075440823125245,27.036302182973213
16,11,0.902522308349948,27.798731661139723
16,10,0.8189963692436475,38.78774612340365
17,16,0.9075440823125245,27.036302182973213
17,18,0.9075440823125155,27.03630218297459
17,12,0.902522308349948,27.798731661139723
17,11,0.8189963692436475,38.78774612340365
18,19,0.9075440823125245,27.036302182973213
18,17,0.9075440823125155,27.03630218297459
18,13,0.902522308349948,27.798731661139723
18,14,0.8189963692436475,38.78774612340365
19,18,0.9075440823125245,27.036302182973213
19,14,0.902522308349948,27.798731661139723
19,13,0.8189963692436475,38.78774612340365
19,17,0.6783767587820518,54.072597403961986
