station_id,era5_node_id,era5_lat,era5_lon,dist_km
288,7,12.95,80.3,9.046917548187027
293,7,12.95,80.3,11.729404502201856
306,12,13.2,80.3,5.639371408101047
5092,12,13.2,80.3,5.170090191751951
5361,7,12.95,80.3,16.62258242396819
5363,7,12.95,80.3,6.086636511368409
5364,12,13.2,80.3,10.69648678059663
5365,12,13.2,80.3,8.940683761908849
